nickname,DOI
lancet GH SEAP,https://doi.org/10.1016/S2214-109X(22)00119-X
Morrison SIM HIV,https://doi.org/10.1002/sim.8196
HEV Nepal,https://doi.org/10.1371/journal.pntd.0012375
scrub dynamics,10.4269/ajtmh.23-0475
scrub pediatric kinetics,10.1093/jtm/taad143
ABC pertussis,10.1002/sim.9906
OFID seroepi for enteric fever,10.1093/ofid/ofad021
EF seroincidence Juba,10.3201/eid2811.220239
Lancent microbe typhoid,10.1016/S2666-5247(22)00114-8
Ethiopia enterics,10.1371/journal.pntd.0008647
Morrison biometrics HIV,  https://doi.org/10.1111/biom.13472
Morrison SCID HIV, https://doi.org/10.1515/scid-2017-0003
